JobID|UID|JobName|ElapsedRaw|TimelimitRaw|TotalCPU|CPUTimeRAW|Planned|NNodes|NCPUS|MaxRSS|ReqMem
5697218|1483803099|FUSE3|80047|1440|21-10:10:30|2881692|00:19:48|1|36||36G
5697218.batch||batch|80047||21-10:10:30|2881692||1|36|32692928K|
5697218.extern||extern|80047||00:00:00|2881692||1|36||
5697219|1483803099|FUSE3|80122|1440|21-11:17:10|2884392|00:19:48|1|36||36G
5697219.batch||batch|80122||21-11:17:10|2884392||1|36|24388480K|
5697219.extern||extern|80122||00:00:00|2884392||1|36||
5697220|1483803099|FUSE3|77957|1440|20-07:25:12|2806452|00:19:48|1|36||36G
5697220.batch||batch|77957||20-07:25:12|2806452||1|36|35720M|
5697220.extern||extern|77957||00:00:00|2806452||1|36||
5697221|1483803099|FUSE3|80173|1440|21-22:18:56|2886228|00:19:48|1|36||36G
5697221.batch||batch|80173||21-22:18:56|2886228||1|36|35487680K|
5697221.extern||extern|80173||00:00:00|2886228||1|36||
5697254|1483803099|FUSE4|79852|1440|20-17:40:35|2874672|00:27:33|1|36||36G
5697254.batch||batch|79852||20-17:40:35|2874672||1|36|26577536K|
5697254.extern||extern|79852||00:00:00|2874672||1|36||
5697255|1483803099|FUSE4|79814|1440|20-21:53:28|2873304|00:27:33|1|36||36G
5697255.batch||batch|79814||20-21:53:28|2873304||1|36|22945600K|
5697255.extern||extern|79814||00:00:00|2873304||1|36||
5697257|1483803099|FUSE4|80045|1440|19-06:01:45|2881620|00:27:33|1|36||36G
5697257.batch||batch|80045||19-06:01:45|2881620||1|36|33984448K|
5697257.extern||extern|80045||00:00:00|2881620||1|36||
5697258|1483803099|FUSE4|80034|1440|19-20:35:42|2881224|00:27:33|1|36||36G
5697258.batch||batch|80034||19-20:35:42|2881224||1|36|29763328K|
5697258.extern||extern|80034||00:00:00|2881224||1|36||
5697259|1483803099|FUSE4|79852|1440|21-23:43:28|2874672|00:27:32|1|36||36G
5697259.batch||batch|79852||21-23:43:28|2874672||1|36|20743M|
5697259.extern||extern|79852||00:00:00|2874672||1|36||
5697260|1483803099|FUSE4|79924|1440|18-19:21:36|2877264|00:32:12|1|36||36G
5697260.batch||batch|79924||18-19:21:36|2877264||1|36|19725760K|
5697260.extern||extern|79924||00:00:00|2877264||1|36||
5697261|1483803099|FUSE4|79891|1440|20-15:09:19|2876076|00:32:12|1|36||36G
5697261.batch||batch|79891||20-15:09:19|2876076||1|36|26860160K|
5697261.extern||extern|79891||00:00:00|2876076||1|36||
5697262|1483803099|FUSE4|79848|1440|20-14:23:54|2874528|00:42:35|1|36||36G
5697262.batch||batch|79848||20-14:23:54|2874528||1|36|24485952K|
5697262.extern||extern|79848||00:00:00|2874528||1|36||
5697264|1483803099|FUSE4|79915|1440|19-23:46:30|2876940|01:04:23|1|36||36G
5697264.batch||batch|79915||19-23:46:30|2876940||1|36|27735M|
5697264.extern||extern|79915||00:00:00|2876940||1|36||
5697265|1483803099|FUSE4|79778|1440|20-23:04:08|2872008|01:08:31|1|36||36G
5697265.batch||batch|79778||20-23:04:08|2872008||1|36|21261440K|
5697265.extern||extern|79778||00:00:00|2872008||1|36||
5697266|1483803099|FUSE4|79903|1440|19-17:17:15|2876508|01:08:31|1|36||36G
5697266.batch||batch|79903||19-17:17:15|2876508||1|36|26138M|
5697266.extern||extern|79903||00:00:00|2876508||1|36||
5697267|1483803099|FUSE4|79938|1440|19-23:06:30|2877768|01:08:31|1|36||36G
5697267.batch||batch|79938||19-23:06:30|2877768||1|36|27352512K|
5697267.extern||extern|79939||00:00:00|2877804||1|36||
5697268|1483803099|FUSE4|80013|1440|20-12:34:23|2880468|01:08:31|1|36||36G
5697268.batch||batch|80013||20-12:34:23|2880468||1|36|26969856K|
5697268.extern||extern|80013||00:00:00|2880468||1|36||
5697269|1483803099|FUSE4|73070|1440|18-14:40:16|2630520|01:08:31|1|36||36G
5697269.batch||batch|73070||18-14:40:16|2630520||1|36|25707712K|
5697269.extern||extern|73070||00:00:00|2630520||1|36||
5697270|1483803099|FUSE4|79838|1440|20-16:08:33|2874168|01:08:31|1|36||36G
5697270.batch||batch|79838||20-16:08:33|2874168||1|36|23882176K|
5697270.extern||extern|79838||00:00:00|2874168||1|36||
5697271|1483803099|FUSE4|79780|1440|21-01:49:17|2872080|01:08:31|1|36||36G
5697271.batch||batch|79780||21-01:49:17|2872080||1|36|21733696K|
5697271.extern||extern|79780||00:00:00|2872080||1|36||
5697272|1483803099|FUSE4|79709|1440|20-15:19:34|2869524|01:08:31|1|36||36G
5697272.batch||batch|79709||20-15:19:34|2869524||1|36|20873984K|
5697272.extern||extern|79709||00:00:00|2869524||1|36||
5697273|1483803099|FUSE4|79992|1440|21-09:17:18|2879712|01:08:31|1|36||36G
5697273.batch||batch|79992||21-09:17:18|2879712||1|36|27527296K|
5697273.extern||extern|79992||00:00:00|2879712||1|36||
5697274|1483803099|FUSE5|79413|1440|19-16:42:56|2858868|01:08:13|1|36||36G
5697274.batch||batch|79413||19-16:42:56|2858868||1|36|7058752K|
5697274.extern||extern|79413||00:00:00|2858868||1|36||
5697275|1483803099|FUSE5|79382|1440|20-12:24:52|2857752|01:08:13|1|36||36G
5697275.batch||batch|79382||20-12:24:52|2857752||1|36|6708352K|
5697275.extern||extern|79382||00:00:00|2857752||1|36||
5697276|1483803099|FUSE5|79318|1440|13-22:50:36|2855448|01:08:13|1|36||36G
5697276.batch||batch|79318||13-22:50:36|2855448||1|36|11530M|
5697276.extern||extern|79318||00:00:00|2855448||1|36||
5697278|1483803099|FUSE5|79731|1440|17-04:04:26|2870316|01:08:13|1|36||36G
5697278.batch||batch|79731||17-04:04:26|2870316||1|36|21452992K|
5697278.extern||extern|79731||00:00:00|2870316||1|36||
5697280|1483803099|FUSE5|79458|1440|20-15:11:26|2860488|01:08:13|1|36||36G
5697280.batch||batch|79458||20-15:11:26|2860488||1|36|9621M|
5697280.extern||extern|79458||00:00:00|2860488||1|36||
5697281|1483803099|FUSE5|79468|1440|20-23:22:07|2860848|01:08:13|1|36||36G
5697281.batch||batch|79468||20-23:22:07|2860848||1|36|7389824K|
5697281.extern||extern|79468||00:00:00|2860848||1|36||
5697282|1483803099|FUSE5|79486|1440|21-04:53:43|2861496|01:08:13|1|36||36G
5697282.batch||batch|79486||21-04:53:43|2861496||1|36|12209280K|
5697282.extern||extern|79486||00:00:00|2861496||1|36||
5697283|1483803099|FUSE5|79529|1440|18-02:37:15|2863044|01:08:12|1|36||36G
5697283.batch||batch|79529||18-02:37:15|2863044||1|36|13115M|
5697283.extern||extern|79529||00:00:00|2863044||1|36||
5697284|1483803099|FUSE5|79558|1440|19-10:39:06|2864088|01:08:12|1|36||36G
5697284.batch||batch|79558||19-10:39:06|2864088||1|36|14542400K|
5697284.extern||extern|79558||00:00:00|2864088||1|36||
5697285|1483803099|FUSE5|79403|1440|20-04:11:27|2858508|01:08:12|1|36||36G
5697285.batch||batch|79403||20-04:11:27|2858508||1|36|10888512K|
5697285.extern||extern|79403||00:00:00|2858508||1|36||
5697286|1483803099|FUSE5|71796|1440|14-19:41:03|2584656|01:08:12|1|36||36G
5697286.batch||batch|71796||14-19:41:03|2584656||1|36|21312960K|
5697286.extern||extern|71796||00:00:00|2584656||1|36||
5697287|1483803099|FUSE5|79447|1440|20-08:44:05|2860092|01:08:12|1|36||36G
5697287.batch||batch|79447||20-08:44:05|2860092||1|36|8293440K|
5697287.extern||extern|79447||00:00:00|2860092||1|36||
5697288|1483803099|FUSE5|79647|1440|19-06:01:54|2867292|01:08:12|1|36||36G
5697288.batch||batch|79647||19-06:01:54|2867292||1|36|18460M|
5697288.extern||extern|79648||00:00:00|2867328||1|36||
5697289|1483803099|FUSE5|79493|1440|19-10:05:04|2861748|01:08:12|1|36||36G
5697289.batch||batch|79493||19-10:05:04|2861748||1|36|10500160K|
5697289.extern||extern|79493||00:00:00|2861748||1|36||
5697290|1483803099|FUSE5|79304|1440|20-10:24:34|2854944|01:08:12|1|36||36G
5697290.batch||batch|79304||20-10:24:34|2854944||1|36|8328768K|
5697290.extern||extern|79304||00:00:00|2854944||1|36||
5697291|1483803099|FUSE5|79425|1440|20-07:26:44|2859300|01:08:12|1|36||36G
5697291.batch||batch|79425||20-07:26:44|2859300||1|36|8520M|
5697291.extern||extern|79425||00:00:00|2859300||1|36||
5697292|1483803099|FUSE5|79520|1440|21-03:46:01|2862720|01:08:12|1|36||36G
5697292.batch||batch|79520||21-03:46:01|2862720||1|36|6599296K|
5697292.extern||extern|79520||00:00:00|2862720||1|36||
5697293|1483803099|FUSE5|79517|1440|19-16:56:31|2862612|01:08:12|1|36||36G
5697293.batch||batch|79517||19-16:56:31|2862612||1|36|7530880K|
5697293.extern||extern|79517||00:00:00|2862612||1|36||
5697294|1483803099|FUSE5|79591|1440|21-23:32:33|2865276|01:08:12|1|36||36G
5697294.batch||batch|79591||21-23:32:33|2865276||1|36|9544064K|
5697294.extern||extern|79591||00:00:00|2865276||1|36||
5697295|1483803099|FUSE5|79550|1440|19-15:02:22|2863800|01:08:12|1|36||36G
5697295.batch||batch|79550||19-15:02:22|2863800||1|36|11776704K|
